PATH_LIST	PARAMETERS	DIRECTION	BENIGN_SC	PATHOGENIC_SC	INTERSECTION	UNION	MINIMUM	ONE_OVERLAP	RANK_BENIGN_SC	RANK_ONE_OVERLAP	AVG_RANKED_SCORES
CLINGEN+DECIPHER_hg19.BED	8_B	LOSS	1335959	14988693	0	16324652	1335959	1.0	0.0011524135657829458	1.0	0.5005762067828915
CLINGEN+DECIPHER_hg19.BED	8_B_USLB	LOSS	1337459	14988693	0	16326152	1337459	1.0	0.0011703553625225555	1.0	0.5005851776812613
CLINGEN+DECIPHER_hg19.BED	9_ALL	LOSS	3559072	14988693	1782366	16765399	3559072	0.4992048489044335	0.02774350794923864	0.004747532122137231	0.016245520035687935
CLINGEN+DECIPHER_hg19.BED	9_B	LOSS	1239613	14988693	0	16228306	1239613	1.0	0.0	1.0	0.5
CLINGEN+DECIPHER_hg19.BED	9_B_USLB	LOSS	1245856	14988693	0	16234549	1245856	1.0	7.467375803025483e-05	1.0	0.5000373368790151
MorbidMap_hg19.BED	10_ALL	GAIN	30636177	18829385	325652	49139910	18829385	0.9827051175596017	0.19452409323183945	0.9751580932930303	0.5848410932624348
MorbidMap_hg19.BED	10_B	GAIN	2605055	18829385	36545	21397895	2605055	0.9859715054000779	0.0	0.9804896253704863	0.49024481268524317
MorbidMap_hg19.BED	10_B_USLB	GAIN	25121845	18829385	39078	43912152	18829385	0.9979246268531872	0.1562569688520406	1.0	0.5781284844260203
MorbidMap_hg19.BED	1_ALL	GAIN	146706084	18829385	11574988	153960481	18829385	0.38526999155840724	1.0	0.0	0.5
MorbidMap_hg19.BED	1_B	GAIN	46150847	18829385	1239336	63740896	18829385	0.934180749928901	0.30218932024420175	0.8959546321009786	0.5990719761725902
MorbidMap_hg19.BED	1_B_USLB	GAIN	65102386	18829385	3376477	80555294	18829385	0.820680441766951	0.43370495987228513	0.7106947783053092	0.5721998690887972
MorbidMap_hg19.BED	2_ALL	GAIN	87175633	18829385	7233629	98771389	18829385	0.6158329653358301	0.5868839284971379	0.3763343333989256	0.4816091309480317
MorbidMap_hg19.BED	2_B	GAIN	9970787	18829385	183693	28616479	9970787	0.9815768805411248	0.051115054841142045	0.9733165386005826	0.5122157967208624
MorbidMap_hg19.BED	2_B_USLB	GAIN	40556187	18829385	886463	58499109	18829385	0.9529212982792588	0.26336475362712364	0.9265437230352873	0.5949542383312054
MorbidMap_hg19.BED	3_ALL	GAIN	64514273	18829385	4041271	79302387	18829385	0.7853742435029079	0.4296237051853391	0.653066554784148	0.5413451299847436
MorbidMap_hg19.BED	3_B	GAIN	7230543	18829385	181729	25878199	7230543	0.9748664795991118	0.032098924151332746	0.9623635472161556	0.49723123568374417
MorbidMap_hg19.BED	3_B_USLB	GAIN	33947071	18829385	448382	52328074	18829385	0.9761871139179532	0.21750029279804795	0.9645191406659726	0.5910097167320103
MorbidMap_hg19.BED	4_ALL	GAIN	50134610	18829385	2436981	66527014	18829385	0.8705756454605394	0.32983494517585993	0.7921357742908882	0.560985359733374
MorbidMap_hg19.BED	4_B	GAIN	5724442	18829385	118404	24435423	5724442	0.9793160625961448	0.02164722224155665	0.96962633891101	0.49563678057628335
MorbidMap_hg19.BED	4_B_USLB	GAIN	31778861	18829385	370529	50237717	18829385	0.9803217683424074	0.2024538353574144	0.971267893040081	0.5868608641987477
MorbidMap_hg19.BED	5_ALL	GAIN	41349629	18829385	1054698	59124316	18829385	0.9439865932955325	0.2688709044541243	0.9119601314504014	0.5904155179522629
MorbidMap_hg19.BED	5_B	GAIN	4937830	18829385	71762	23695453	4937830	0.9854668953771191	0.016188468716625194	0.979665980214001	0.49792722446531307
MorbidMap_hg19.BED	5_B_USLB	GAIN	29297489	18829385	298597	47828277	18829385	0.9841419674620281	0.18523416650966454	0.9775033785804501	0.5813687725450574
MorbidMap_hg19.BED	6_ALL	GAIN	37756641	18829385	586750	55999276	18829385	0.9688385998799217	0.243937092218821	0.9525245949387607	0.5982308435787909
MorbidMap_hg19.BED	6_B	GAIN	4371183	18829385	61072	23139496	4371183	0.986028496175978	0.012256178961775492	0.980582648050177	0.49641941350597624
MorbidMap_hg19.BED	6_B_USLB	GAIN	27494892	18829385	76425	46247852	18829385	0.9959411844837205	0.17272490816148162	0.9967625440905832	0.5847437261260324
MorbidMap_hg19.BED	7_ALL	GAIN	33913497	18829385	395637	52347245	18829385	0.9789883206488157	0.21726730348330822	0.969091385074953	0.5931793442791305
MorbidMap_hg19.BED	7_B	GAIN	3585775	18829385	52476	22362684	3585775	0.9853655067593478	0.0068057806859935744	0.9795004895575522	0.4931531351217729
